0,1,2,3
440000000,广东省,广东省,广东省
440100000,广州市,广东省广州市,广东省广州市
440103000,荔湾区,广东省广州市荔湾区,广东省广州市荔湾区
440103001,沙面街道,广东省广州市荔湾区沙面街道,广东省广州市荔湾区沙面街道
440103002,岭南街道,广东省广州市荔湾区岭南街道,广东省广州市荔湾区岭南街道
440103003,华林街道,广东省广州市荔湾区华林街道,广东省广州市荔湾区华林街道
440103004,多宝街道,广东省广州市荔湾区多宝街道,广东省广州市荔湾区多宝街道
440103005,昌华街道,广东省广州市荔湾区昌华街道,广东省广州市荔湾区昌华街道
440103006,逢源街道,广东省广州市荔湾区逢源街道,广东省广州市荔湾区逢源街道
440103007,龙津街道,广东省广州市荔湾区龙津街道,广东省广州市荔湾区龙津街道
440103008,金花街道,广东省广州市荔湾区金花街道,广东省广州市荔湾区金花街道
440103009,彩虹街道,广东省广州市荔湾区彩虹街道,广东省广州市荔湾区彩虹街道
440103010,南源街道,广东省广州市荔湾区南源街道,广东省广州市荔湾区南源街道
440103011,西村街道,广东省广州市荔湾区西村街道,广东省广州市荔湾区西村街道
440103012,站前街道,广东省广州市荔湾区站前街道,广东省广州市荔湾区站前街道
440103013,桥中街道,广东省广州市荔湾区桥中街道,广东省广州市荔湾区桥中街道
440103014,白鹤洞街道,广东省广州市荔湾区白鹤洞街道,广东省广州市荔湾区白鹤洞街道
440103015,冲口街道,广东省广州市荔湾区冲口街道,广东省广州市荔湾区冲口街道
440103016,花地街道,广东省广州市荔湾区花地街道,广东省广州市荔湾区花地街道
440103017,石围塘街道,广东省广州市荔湾区石围塘街道,广东省广州市荔湾区石围塘街道
440103018,茶滘街道,广东省广州市荔湾区茶滘街道,广东省广州市荔湾区茶滘街道
440103019,东漖街道,广东省广州市荔湾区东漖街道,广东省广州市荔湾区东漖街道
440103020,海龙街道,广东省广州市荔湾区海龙街道,广东省广州市荔湾区海龙街道
440103021,东沙街道,广东省广州市荔湾区东沙街道,广东省广州市荔湾区东沙街道
440103022,中南街道,广东省广州市荔湾区中南街道,广东省广州市荔湾区中南街道
440103999,不详乡镇,广东省广州市荔湾区不详乡镇,广东省广州市荔湾区不详乡镇
440104000,越秀区,广东省广州市越秀区,广东省广州市越秀区
